ID,First Name,Last Name,Email,Phone Number,Address,City,State
1,John,Doe,john.doe@example.com,(555) 123-4567,123 Elm St,Springfield,IL
2,Jane,Smith,jane.smith@example.com,(555) 234-5678,456 Oak St,Metropolis,NY
3,Emily,Johnson,emily.johnson@example.com,(555) 345-6789,789 Pine St,Smalltown,CA
4,Michael,Brown,michael.brown@example.com,(555) 456-7890,135 Maple St,Big City,TX
5,Sarah,Davis,sarah.davis@example.com,(555) 567-8901,246 Birch St,Townsville,FL
6,James,Williams,james.williams@example.com,(555) 678-9012,357 Cedar St,Capitol,DC
7,Olivia,Martinez,olivia.martinez@example.com,(555) 789-0123,468 Walnut St,Greenfield,OH
8,Liam,Anderson,liam.anderson@example.com,(555) 890-1234,579 Chestnut St,Lakeside,MI
9,Ava,Thomas,ava.thomas@example.com,(555) 901-2345,680 Fir St,Riverside,CO
10,Noah,White,noah.white@example.com,(555) 012-3456,791 Spruce St,Hometown,WA
